API Name,URL,Endpoint,Description,License,Content & Formats,Limitations,Documentation,How to Request Access,Last Sighted
ArXiv,https://info.arxiv.org/help/api/index.html,https://export.arxiv.org/api/query,"Extensive open-access repository for preprints (>2 million) in physics, mathematics, computer science, biology, finance, and statistics. A good complement to OpenAlex and PubMed Central.",✅ Freely accessible,"REST API (Atom 1.0 XML) | Full-text links (PDF) with structured metadata: Title, Author, Abstract, Subject category, ArXiv ID","No hard rate limit. Recommended: ~3 sec between requests | Max 30,000 results per query | Results returned in slices up to 2,000 | Queries with >1,000 results should be refined | No PDF bulk download via API (only individual links)","REST API User Manual | ArXiv API Quick Reference",No registration or API key required. Use responsibly per Terms of Use.,
CrossRef API,https://api.crossref.org/swagger-ui/index.html,https://api.crossref.org,"Publisher-supplied metadata including full-text URLs where available. Multiple APIs for querying, filtering, sorting, real-time updates, TDM license screening, and full-text links.",✅ Freely accessible | ⚠️ License required for Metadata Plus,"REST API (JSON) for selective queries | XML API (DOI and metadata queries) | Event Data API (events referencing DOIs in patents, social media, Wikipedia) | Metadata dumps (complete corpus as annual JSONL packages)",No explicit rate limits; responsible use expected. Not intended for bulk downloading.,"REST API | OpenAPI/Swagger | GitHub Quickstart | XML API | Dumps | Event Data API",No registration or API key required.,
Directory of Open Access Books,https://www.doabooks.org/en/article/api-search-doab,https://directory.doabooks.org/rest/,">100,000 peer-reviewed OA books from more than 600 publishers. Full texts hosted in OA publisher repositories or on OAPEN.",✅ Freely accessible | Metadata and OA full texts openly reusable,"REST API (JSON) for querying metadata and associated files (PDF, EPUB, and other formats) | Search fields follow Dublin Core conventions (e.g., dc.title, dc.creator, handle)",No explicit rate limits; responsible use expected.,"REST API | API Documentation | OAPEN",No registration or API key required.,
Directory of Open Access Journals,https://doaj.org/api/v4/docs,https://doaj.org/api/v4/,">20,000 quality-assured Open Access journals; >10 million articles with links to full texts.",✅ Freely accessible | Metadata openly reusable | No full texts included,"REST API (JSON) for metadata GET requests | Article and journal metadata (title, ISSN/EISSN, license, full-text URL, abstract, keywords, publisher) | Elasticsearch-based query syntax (e.g., bibjson.journal.title) | Use cases: OA corpus creation, TDM license screening, OA landscape analysis",No explicit rate limits; responsible use expected.,"DOAJ API Live Documentation | DOAJ Blog (API News)","No registration or API key required. API keys issued only to publishers who deposit metadata with DOAJ.",
Europe PMC,https://europepmc.org/RestfulWebService,https://www.ebi.ac.uk/europepmc/webservices/rest/,">33 million articles, preprints, and abstracts in the biomedical/life sciences domain, including 10.2 million full texts and >6.5 million OA articles. Sources: PubMed/Medline, Agricola, Chinese Biological Abstracts, European Patent Office, NICE, NHS Evidence.",✅ Freely accessible | ⚠️ Full-text access determined by article license status,"RESTful API (XML/JSON/DC) | SOAP API (XML) | Queryable data: annotations/extracted entities (gene, protein, chemical, disease, organism, GO terms, accession numbers), citations, references, database links, supplementary files, book HTML/XML/PDF links",No explicit rate limits; responsible use expected. Bulk download provided via FTP.,"EBI Search (Web, RESTful API, Webinar) | SOAP Web Service Guide | Europe PMC Annotations API",No registration or API key required.,
Europeana APIs,https://apis.europeana.eu/en,https://api.europeana.eu/record/v2/,"Access to rich cultural heritage data (images, text, audio, video, 3D objects) from thousands of institutions across Europe. Includes search, retrieval, and thumbnail APIs.",⚠️ API key required | Data under various open licenses (CC BY, CC0, etc.),"REST API (JSON, JSON-LD) | Search API | Record API | Thumbnail API | IIIF Manifest API","10,000 API calls/day (free tier)","Europeana API Documentation | API Console","API key required. Register at https://pro.europeana.eu/page/get-api",
JSTOR Text Analysis Support,https://support.jstor.org/hc/en-us/articles/32479181127575-JSTOR-Text-Analysis-Support-Getting-Started,N/A (no real-time API),"Text mining content including journals, OA eBooks, OCR data (Reveal Digital open collections), pamphlets, and research reports. Images and media excluded.",✅ Non-commercial research, teaching, and learning | ❌ Training third-party AI models not permitted,"No traditional real-time API | Metadata: JSONL dump (JSTOR Bibliographic Metadata File) | Full-text: custom datasets on demand | Data filterable using Python",Maximum dataset size: 1.5 million items,"Working with JSTOR Bibliographic Metadata | Working with JSTOR Full-Text Datasets","Submit a Data Set Request via JSTOR account. All requests must be approved. See JSTOR Text Analysis: Getting Started.",
GBIF API,https://techdocs.gbif.org/en/openapi/,https://api.gbif.org/,"Programmatic access to query and publish biodiversity occurrence data on GBIF.org. Enables advanced queries, workflow integration, script automation, and data embedding.","✅ Freely accessible | Data licensing varies per dataset; GBIF terms apply","REST API (JSON) | Key endpoints: Registry, Species, Occurrence, Maps (v2), Literature, Validator, Vocabularies, Analytics","HTTP 429 during high server load. For scripts taking >15 min, request a download instead. No guaranteed query rate. Recommended: set HTTP User-Agent to URL or email address.","GBIF OpenAPI Reference | GBIF Technical Documentation","Most queries: no authentication | POST/PUT/DELETE: GBIF account required (HTTP Basic Auth)",
Google Books API,https://developers.google.com/books/docs/v1/getting_started,https://www.googleapis.com/books/v1/,"Search and retrieve book volume metadata, manage personal bookshelves, retrieve reviews and reading positions. Embed Google Books features into websites and apps.",Content: CC BY 4.0 | Code samples: Apache 2.0 | ⚠️ API key required for public data,"REST API (JSON) | Endpoints: volumes (list/retrieve), bookshelves (list/retrieve/insert/update/delete) | Example: GET https://www.googleapis.com/books/v1/volumes?q=quilting",Rate limits not specified in documentation.,"Google Books API Documentation | Google API Console","API key required for public data (via Google API Console) | OAuth 2.0 required for private library operations",
Impresso,https://impresso-project.ch/datalab/,https://impresso-project.ch/public-api/v1/,"Historical newspaper and radio archive corpus from multiple European collections, enriched with machine learning (NER, text reuse, topic models). Covers articles, entities, media sources, collections, and text reuse clusters. Research project funded by Swiss and Luxembourg research foundations.","Python library: GNU AGPL v3 | Data access: registration required via Impresso Datalab | ❌ Commercial use not permitted without agreement","REST API (JSON) | Python client library (pip install impresso) | Resources: Search (articles by term/date/language/entity/topic) | Entities (persons, locations; Wikidata-linked) | Media Sources (newspapers/publications) | Collections (user-curated) | Text Reuse (clusters and passages) | NER/NEL tools | Results exportable as pandas DataFrame","Rate limits not publicly specified | Access restricted to registered users | Token-based authentication (stored in ~/.impresso_py.yml)","Impresso Datalab | Python Library Documentation (impresso-py) | Swagger API Docs | GitHub: impresso/impresso-py","Register at https://impresso-project.ch/datalab/ to obtain an access token. Authenticate via impresso.connect() in the Python library.",
