API-Name,URL,Endpunkt,Beschreibung,Lizenz,Inhalte & Formate,Einschränkungen,Dokumentation,Zugangsbeschaffung,Zuletzt gesichtet
ArXiv,https://info.arxiv.org/help/api/index.html,https://export.arxiv.org/api/query,"Umfangreiches Open-Access-Repository für Preprints (>2 Millionen) aus Physik, Mathematik, Informatik, Biologie, Finanzwissenschaft und Statistik. Gute Ergänzung zu OpenAlex und PubMed Central.",✅ Frei zugänglich,"REST API (Atom 1.0 XML) | Volltext-Links (PDF) mit strukturierten Metadaten: Titel, Autor, Abstract, Fachkategorie, ArXiv-ID","Kein festes Anfragenlimit. Empfehlung: ~3 Sek. Pause zwischen Anfragen | Max. 30.000 Ergebnisse pro Abfrage | Ergebnisse in Scheiben bis zu 2.000 | Abfragen mit >1.000 Ergebnissen sollten verfeinert werden | Kein PDF-Massendownload über die API (nur Einzellinks)","REST API Benutzerhandbuch | ArXiv API Kurzreferenz",Keine Registrierung oder API-Schlüssel erforderlich. Verantwortungsvoller Umgang gemäß Nutzungsbedingungen.,
CrossRef API,https://api.crossref.org/swagger-ui/index.html,https://api.crossref.org,"Von Verlagen bereitgestellte Metadaten inkl. Volltext-URLs (sofern verfügbar). Mehrere APIs für Abfragen, Filterung, Sortierung, Echtzeit-Updates, TDM-Lizenzprüfung und Volltext-Links.",✅ Frei zugänglich | ⚠️ Lizenz für Metadata Plus erforderlich,"REST API (JSON) für gezielte Abfragen | XML API (DOI- und Metadatenabfragen) | Event Data API (Ereignisse mit DOI-Bezug aus Patenten, sozialen Medien, Wikipedia) | Metadaten-Dumps (vollständiges Korpus als jährliche JSONL-Pakete)",Keine expliziten Anfragenlimits; verantwortungsvoller Umgang wird erwartet. Nicht für Massendownloads vorgesehen.,"REST API | OpenAPI/Swagger | GitHub Quickstart | XML API | Dumps | Event Data API",Keine Registrierung oder API-Schlüssel erforderlich.,
Directory of Open Access Books,https://www.doabooks.org/en/article/api-search-doab,https://directory.doabooks.org/rest/,">100.000 begutachtete OA-Bücher von mehr als 600 Verlagen. Volltexte werden in OA-Verlagsrepositorien oder auf OAPEN gehostet.",✅ Frei zugänglich | Metadaten und OA-Volltexte frei nachnutzbar,"REST API (JSON) zur Abfrage von Metadaten und zugehörigen Dateien (PDF, EPUB und weitere Formate) | Suchfelder nach Dublin-Core-Konventionen (z.B. dc.title, dc.creator, handle)",Keine expliziten Anfragenlimits; verantwortungsvoller Umgang wird erwartet.,"REST API | API-Dokumentation | OAPEN",Keine Registrierung oder API-Schlüssel erforderlich.,
Directory of Open Access Journals,https://doaj.org/api/v4/docs,https://doaj.org/api/v4/,">20.000 qualitätsgeprüfte Open-Access-Zeitschriften; >10 Millionen Artikel mit Links zu Volltexten.",✅ Frei zugänglich | Metadaten frei nachnutzbar | Keine Volltexte enthalten,"REST API (JSON) für Metadaten-GET-Anfragen | Artikel- und Zeitschriftenmetadaten (Titel, ISSN/EISSN, Lizenz, Volltext-URL, Abstract, Schlagwörter, Verlag) | Elasticsearch-basierte Abfragesyntax (z.B. bibjson.journal.title) | Anwendungsfälle: OA-Korpuserstellung, TDM-Lizenzprüfung, OA-Landschaftsanalyse",Keine expliziten Anfragenlimits; verantwortungsvoller Umgang wird erwartet.,"DOAJ API Live-Dokumentation | DOAJ Blog (API-Neuigkeiten)","Keine Registrierung oder API-Schlüssel erforderlich. API-Schlüssel werden nur an Verlage vergeben, die Metadaten bei DOAJ einreichen.",
Europe PMC,https://europepmc.org/RestfulWebService,https://www.ebi.ac.uk/europepmc/webservices/rest/,">33 Millionen Artikel, Preprints und Abstracts aus dem biomedizinischen/biowissenschaftlichen Bereich, darunter 10,2 Millionen Volltexte und >6,5 Millionen OA-Artikel. Quellen: PubMed/Medline, Agricola, Chinese Biological Abstracts, Europäisches Patentamt, NICE, NHS Evidence.",✅ Frei zugänglich | ⚠️ Volltextzugang richtet sich nach dem Lizenzstatus des Artikels,"RESTful API (XML/JSON/DC) | SOAP API (XML) | Abfragbare Daten: Annotationen/extrahierte Entitäten (Gen, Protein, Chemikalie, Krankheit, Organismus, GO-Terme, Akzessionsnummern), Zitierungen, Referenzen, Datenbanklinks, Zusatzdateien, Buch-HTML/XML/PDF-Links",Keine expliziten Anfragenlimits; verantwortungsvoller Umgang wird erwartet. Massendownload über FTP verfügbar.,"EBI Search (Web, RESTful API, Webinar) | SOAP Web Service Guide | Europe PMC Annotations API",Keine Registrierung oder API-Schlüssel erforderlich.,
Europeana APIs,https://apis.europeana.eu/en,https://api.europeana.eu/record/v2/,"Zugang zu reichhaltigen Kulturdaten (Bilder, Texte, Audio, Video, 3D-Objekte) von Tausenden europäischen Institutionen. Enthält Such-, Abruf- und Thumbnail-APIs.",⚠️ API-Schlüssel erforderlich | Daten unter verschiedenen offenen Lizenzen (CC BY, CC0 usw.),"REST API (JSON, JSON-LD) | Search API | Record API | Thumbnail API | IIIF Manifest API","10.000 API-Aufrufe/Tag (kostenloser Tarif)","Europeana API-Dokumentation | API-Konsole","API-Schlüssel erforderlich. Registrierung unter https://pro.europeana.eu/page/get-api",
JSTOR Text Analysis Support,https://support.jstor.org/hc/en-us/articles/32479181127575-JSTOR-Text-Analysis-Support-Getting-Started,N/A (keine Echtzeit-API),"Text-Mining-Inhalte aus Zeitschriften, OA-E-Books, OCR-Daten (Reveal Digital Open Collections), Broschüren und Forschungsberichten. Bilder und Medien ausgenommen.",✅ Nicht-kommerzielle Forschung, Lehre und Lernen | ❌ Training von KI-Modellen Dritter nicht gestattet,"Keine klassische Echtzeit-API | Metadaten: JSONL-Dump (JSTOR Bibliographic Metadata File) | Volltext: individuelle Datensätze auf Anfrage | Daten mit Python filterbar",Maximale Datensatzgröße: 1,5 Millionen Einträge,"Arbeiten mit JSTOR-Bibliografiemetadaten | Arbeiten mit JSTOR-Volltextdatensätzen","Datensatzanfrage über JSTOR-Konto einreichen. Alle Anfragen müssen genehmigt werden. Siehe JSTOR Text Analysis: Getting Started.",
GBIF API,https://techdocs.gbif.org/en/openapi/,https://api.gbif.org/,"Programmatischer Zugang zur Abfrage und Veröffentlichung von Biodiversitätsdaten auf GBIF.org. Ermöglicht erweiterte Abfragen, Workflow-Integration, Skriptautomatisierung und Dateneinbettung.","✅ Frei zugänglich | Datenlizenzierung je nach Datensatz; GBIF-Nutzungsbedingungen gelten","REST API (JSON) | Wichtige Endpunkte: Registry, Species, Occurrence, Maps (v2), Literature, Validator, Vocabularies, Analytics","HTTP 429 bei hoher Serverlast. Für Skripte mit >15 Min. Laufzeit stattdessen einen Download anfordern. Keine garantierte Abfragerate. Empfehlung: HTTP-User-Agent auf URL oder E-Mail-Adresse setzen.","GBIF OpenAPI-Referenz | GBIF Technische Dokumentation","Meiste Abfragen: keine Authentifizierung | POST/PUT/DELETE: GBIF-Konto erforderlich (HTTP Basic Auth)",
Google Books API,https://developers.google.com/books/docs/v1/getting_started,https://www.googleapis.com/books/v1/,"Suche und Abruf von Buchmetadaten, Verwaltung persönlicher Bücherregale, Abruf von Rezensionen und Leseständen. Integration von Google Books-Funktionen in Webseiten und Apps.",Inhalte: CC BY 4.0 | Codebeispiele: Apache 2.0 | ⚠️ API-Schlüssel für öffentliche Daten erforderlich,"REST API (JSON) | Endpunkte: volumes (auflisten/abrufen), bookshelves (auflisten/abrufen/einfügen/aktualisieren/löschen) | Beispiel: GET https://www.googleapis.com/books/v1/volumes?q=quilting",Anfragenlimits in der Dokumentation nicht angegeben.,"Google Books API-Dokumentation | Google API Console","API-Schlüssel für öffentliche Daten erforderlich (über Google API Console) | OAuth 2.0 für private Bücherregale erforderlich",
Impresso,https://impresso-project.ch/datalab/,https://impresso-project.ch/public-api/v1/,"Historisches Zeitungs- und Radioarchiv-Korpus aus mehreren europäischen Sammlungen, angereichert durch maschinelles Lernen (NER, Textwiederverwertung, Themenmodelle). Umfasst Artikel, Entitäten, Medienquellen, Sammlungen und Textwiederverwertungs-Cluster. Forschungsprojekt gefördert durch schweizerische und luxemburgische Forschungsförderungen.","Python-Bibliothek: GNU AGPL v3 | Datenzugang: Registrierung über Impresso Datalab erforderlich | ❌ Kommerzielle Nutzung ohne Vereinbarung nicht gestattet","REST API (JSON) | Python-Clientbibliothek (pip install impresso) | Ressourcen: Suche (Artikel nach Begriff/Datum/Sprache/Entität/Thema) | Entitäten (Personen, Orte; Wikidata-verknüpft) | Medienquellen (Zeitungen/Publikationen) | Sammlungen (nutzerdefiniert) | Textwiederverwertung (Cluster und Passagen) | NER/NEL-Werkzeuge | Ergebnisse als pandas DataFrame exportierbar","Anfragenlimits nicht öffentlich angegeben | Zugang auf registrierte Nutzer beschränkt | Token-basierte Authentifizierung (gespeichert in ~/.impresso_py.yml)","Impresso Datalab | Python-Bibliothek Dokumentation (impresso-py) | Swagger API-Dokumentation | GitHub: impresso/impresso-py","Registrierung unter https://impresso-project.ch/datalab/ zum Erhalt eines Zugangs-Tokens. Authentifizierung über impresso.connect() in der Python-Bibliothek.",
